Date,Open,High,Low,Close,Adj Close,Volume
2020-11-24,268.489990,277.820007,267.869995,276.920013,276.352112,16930400
2020-11-25,278.140015,280.179993,272.649994,275.589996,275.024841,12467000
2020-11-27,277.390015,279.130005,274.820007,277.809998,277.240295,7808400
2020-11-30,276.029999,277.700012,271.010010,276.970001,276.402008,16693300
2020-12-01,279.160004,289.299988,278.959991,286.549988,285.962341,20738900
2020-12-02,285.359985,291.779999,280.829987,287.519989,286.930359,17361600
2020-12-03,286.250000,286.649994,281.070007,281.850006,281.272003,12921700
2020-12-04,280.299988,283.459991,279.299988,279.700012,279.126434,10880300
2020-12-07,279.190002,288.489990,278.200012,285.579987,284.994354,13007700
2020-12-08,286.010010,286.429993,281.549988,283.399994,282.818817,10747700
2020-12-09,283.660004,287.630005,271.750000,277.920013,277.350098,25189700
2020-12-10,275.540009,278.730011,271.859985,277.119995,276.551697,20065100
2020-12-11,274.529999,276.480011,270.250000,273.549988,272.989014,14391400
2020-12-14,273.369995,277.220001,271.559998,274.190002,273.627716,16376900
2020-12-15,274.829987,276.079987,267.470001,275.549988,274.984924,23979500
2020-12-16,274.760010,277.859985,272.510010,275.670013,275.104706,15885000
2020-12-17,277.070007,280.440002,273.609985,274.480011,273.917114,16377800
2020-12-18,275.769989,278.000000,271.140015,276.399994,275.833160,26693200
2020-12-21,272.980011,274.670013,267.790009,272.790009,272.230591,16553700
2020-12-22,271.500000,271.500000,264.630005,267.089996,266.542267,17312900
2020-12-23,266.890015,272.170013,266.230011,268.109985,267.560150,14329000
2020-12-24,268.880005,270.399994,266.200012,267.399994,266.851624,6702000
2020-12-28,268.739990,277.299988,265.660004,277.000000,276.431976,23299700
2020-12-29,276.950012,280.510010,276.279999,276.779999,276.212402,16383000
2020-12-30,277.950012,278.079987,271.709991,271.869995,271.312469,11803800
2020-12-31,272.000000,277.089996,269.809998,273.160004,272.599823,12900400
2021-01-04,274.779999,275.000000,265.200012,268.940002,268.388489,15106100
